protein	Sample1_01	Sample1_02	Sample1_03	Sample2_01	Sample2_02	Sample2_03	Sample1	Sample2	Sample1_01-log2	Sample1_02-log2	Sample1_03-log2	Sample2_01-log2	Sample2_02-log2	Sample2_03-log2	Sample1-log2	Sample2-log2	ratio	sum	log2_sum	log2_ratio
NP_001186911	0	0	1	1	1	2	0.0	1.0	-inf	-inf	0.0	0.0	0.0	1.0		0.0	1024.0	1.0	0.0	10.0
NP_001186913	0	0	1	1	1	2	0.0	1.0	-inf	-inf	0.0	0.0	0.0	1.0		0.0	1024.0	1.0	0.0	10.0
NP_001186916	34	19	30	40	31	41	34.0	40.0	5.08746284125034	4.247927513443585	4.906890595608519	5.321928094887363	4.954196310386876	5.357552004618084	5.08746284125034	5.321928094887363	1.1764705882352942	74.0	6.209453365628951	0.23446525363702297
NP_001186976	2	1	1	0	0	2	2.0	0.0	1.0	0.0	0.0	-inf	-inf	1.0	1.0		0.0009765625	2.0	1.0	-10.0
NP_001188291	12	11	19	9	10	13	12.0	9.0	3.5849625007211565	3.4594316186372978	4.247927513443585	3.1699250014423126	3.3219280948873626	3.700439718141092	3.5849625007211565	3.1699250014423126	0.75	21.0	4.392317422778761	-0.4150374992788438
NP_001188292	17	13	17	11	12	14	17.0	11.0	4.08746284125034	3.700439718141092	4.08746284125034	3.4594316186372978	3.5849625007211565	3.8073549220576037	4.08746284125034	3.4594316186372978	0.6470588235294118	28.0	4.807354922057604	-0.6280312226130421
NP_001188306	1	0	4	5	5	9	1.0	5.0	0.0	-inf	2.0	2.321928094887362	2.321928094887362	3.1699250014423126	0.0	2.321928094887362	5.0	6.0	2.584962500721156	2.321928094887362
NP_001188330	0	1	1	2	2	2	0.0	2.0	-inf	0.0	0.0	1.0	1.0	1.0		1.0	1024.0	2.0	1.0	10.0
NP_001188331	0	1	1	2	2	2	0.0	2.0	-inf	0.0	0.0	1.0	1.0	1.0		1.0	1024.0	2.0	1.0	10.0
NP_001188357	7	5	5	8	10	12	7.0	8.0	2.807354922057604	2.321928094887362	2.321928094887362	3.0	3.3219280948873626	3.5849625007211565	2.807354922057604	3.0	1.1428571428571428	15.0	3.9068905956085187	0.19264507794239583
NP_001188408	23	15	13	43	28	22	23.0	43.0	4.523561956057013	3.9068905956085187	3.700439718141092	5.426264754702098	4.807354922057604	4.459431618637297	4.523561956057013	5.426264754702098	1.8695652173913044	66.0	6.044394119358453	0.9027027986450852
NP_001188412	9	7	14	9	16	10	9.0	9.0	3.1699250014423126	2.807354922057604	3.8073549220576037	3.1699250014423126	4.0	3.3219280948873626	3.1699250014423126	3.1699250014423126	1.0	18.0	4.169925001442312	0.0
NP_001189333	1	0	4	5	5	7	1.0	5.0	0.0	-inf	2.0	2.321928094887362	2.321928094887362	2.807354922057604	0.0	2.321928094887362	5.0	6.0	2.584962500721156	2.321928094887362
NP_001189378	0	0	0	5	1	2	0.0	5.0	-inf	-inf	-inf	2.321928094887362	0.0	1.0		2.321928094887362	1024.0	5.0	2.321928094887362	10.0
NP_001189379	0	0	0	5	1	2	0.0	5.0	-inf	-inf	-inf	2.321928094887362	0.0	1.0		2.321928094887362	1024.0	5.0	2.321928094887362	10.0
NP_001189398	4	7	3	2	1	4	4.0	2.0	2.0	2.807354922057604	1.5849625007211563	1.0	0.0	2.0	2.0	1.0	0.5	6.0	2.584962500721156	-1.0
NP_001189399	19	15	18	11	10	20	19.0	11.0	4.247927513443585	3.9068905956085187	4.169925001442312	3.4594316186372978	3.3219280948873626	4.321928094887363	4.247927513443585	3.4594316186372978	0.5789473684210527	30.0	4.906890595608519	-0.7884958948062882
NP_001189405	3	2	2	12	9	10	3.0	12.0	1.5849625007211563	1.0	1.0	3.5849625007211565	3.1699250014423126	3.3219280948873626	1.5849625007211563	3.5849625007211565	4.0	15.0	3.9068905956085187	2.0
NP_001189414	13	17	14	11	13	17	13.0	11.0	3.700439718141092	4.08746284125034	3.8073549220576037	3.4594316186372978	3.700439718141092	4.08746284125034	3.700439718141092	3.4594316186372978	0.8461538461538461	24.0	4.584962500721157	-0.24100809950379493
NP_001189418	9	11	18	36	39	44	9.0	36.0	3.1699250014423126	3.4594316186372978	4.169925001442312	5.169925001442312	5.285402218862249	5.459431618637297	3.1699250014423126	5.169925001442312	4.0	45.0	5.491853096329675	2.0
NP_001189431	40	59	34	34	28	44	40.0	34.0	5.321928094887363	5.882643049361842	5.08746284125034	5.08746284125034	4.807354922057604	5.459431618637297	5.321928094887363	5.08746284125034	0.85	74.0	6.209453365628951	-0.23446525363702297
NP_001189476	23	19	9	59	58	60	23.0	59.0	4.523561956057013	4.247927513443585	3.1699250014423126	5.882643049361842	5.857980995127572	5.906890595608519	4.523561956057013	5.882643049361842	2.5652173913043477	82.0	6.357552004618085	1.3590810933048283
NP_001189477	23	19	8	59	59	60	23.0	59.0	4.523561956057013	4.247927513443585	3.0	5.882643049361842	5.882643049361842	5.906890595608519	4.523561956057013	5.882643049361842	2.5652173913043477	82.0	6.357552004618085	1.3590810933048283
NP_001189478	23	19	8	59	58	60	23.0	59.0	4.523561956057013	4.247927513443585	3.0	5.882643049361842	5.857980995127572	5.906890595608519	4.523561956057013	5.882643049361842	2.5652173913043477	82.0	6.357552004618085	1.3590810933048283
NP_001189484	0	2	1	4	3	3	0.0	4.0	-inf	1.0	0.0	2.0	1.5849625007211563	1.5849625007211563		2.0	1024.0	4.0	2.0	10.0
NP_001189485	0	2	1	4	3	3	0.0	4.0	-inf	1.0	0.0	2.0	1.5849625007211563	1.5849625007211563		2.0	1024.0	4.0	2.0	10.0
NP_001190181	2	1	1	0	0	0	2.0	0.0	1.0	0.0	0.0	-inf	-inf	-inf	1.0		0.0009765625	2.0	1.0	-10.0
NP_001190189	8	11	7	11	13	11	8.0	11.0	3.0	3.4594316186372978	2.807354922057604	3.4594316186372978	3.700439718141092	3.4594316186372978	3.0	3.4594316186372978	1.375	19.0	4.247927513443585	0.45943161863729726
NP_001190190	8	11	7	11	13	11	8.0	11.0	3.0	3.4594316186372978	2.807354922057604	3.4594316186372978	3.700439718141092	3.4594316186372978	3.0	3.4594316186372978	1.375	19.0	4.247927513443585	0.45943161863729726
NP_001190191	8	11	7	11	13	11	8.0	11.0	3.0	3.4594316186372978	2.807354922057604	3.4594316186372978	3.700439718141092	3.4594316186372978	3.0	3.4594316186372978	1.375	19.0	4.247927513443585	0.45943161863729726
NP_001190983	8	11	7	11	13	11	8.0	11.0	3.0	3.4594316186372978	2.807354922057604	3.4594316186372978	3.700439718141092	3.4594316186372978	3.0	3.4594316186372978	1.375	19.0	4.247927513443585	0.45943161863729726
NP_001190984	14	15	14	22	19	19	14.0	22.0	3.8073549220576037	3.9068905956085187	3.8073549220576037	4.459431618637297	4.247927513443585	4.247927513443585	3.8073549220576037	4.459431618637297	1.5714285714285714	36.0	5.169925001442312	0.6520766965796931
NP_001190985	6	6	8	9	7	11	6.0	9.0	2.584962500721156	2.584962500721156	3.0	3.1699250014423126	2.807354922057604	3.4594316186372978	2.584962500721156	3.1699250014423126	1.5	15.0	3.9068905956085187	0.5849625007211562
NP_001190991	7	7	4	7	10	9	7.0	7.0	2.807354922057604	2.807354922057604	2.0	2.807354922057604	3.3219280948873626	3.1699250014423126	2.807354922057604	2.807354922057604	1.0	14.0	3.8073549220576037	0.0
NP_001190992	0	1	1	7	9	5	0.0	7.0	-inf	0.0	0.0	2.807354922057604	3.1699250014423126	2.321928094887362		2.807354922057604	1024.0	7.0	2.807354922057604	10.0
NP_001191011	1	0	1	1	1	4	1.0	1.0	0.0	-inf	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	1.0	0.0
NP_001191012	1	0	1	1	1	4	1.0	1.0	0.0	-inf	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	1.0	0.0
NP_001191123	27	14	21	38	44	29	27.0	38.0	4.754887502163469	3.8073549220576037	4.392317422778761	5.247927513443585	5.459431618637297	4.857980995127573	4.754887502163469	5.247927513443585	1.4074074074074074	65.0	6.022367813028454	0.493040011280117
NP_001191214	27	29	29	12	13	18	27.0	12.0	4.754887502163469	4.857980995127573	4.857980995127573	3.5849625007211565	3.700439718141092	4.169925001442312	4.754887502163469	3.5849625007211565	0.4444444444444444	39.0	5.285402218862249	-1.1699250014423124
NP_001191215	27	29	29	12	13	18	27.0	12.0	4.754887502163469	4.857980995127573	4.857980995127573	3.5849625007211565	3.700439718141092	4.169925001442312	4.754887502163469	3.5849625007211565	0.4444444444444444	39.0	5.285402218862249	-1.1699250014423124
NP_001191216	27	29	29	12	13	18	27.0	12.0	4.754887502163469	4.857980995127573	4.857980995127573	3.5849625007211565	3.700439718141092	4.169925001442312	4.754887502163469	3.5849625007211565	0.4444444444444444	39.0	5.285402218862249	-1.1699250014423124
NP_001191217	7	9	11	4	7	8	7.0	4.0	2.807354922057604	3.1699250014423126	3.4594316186372978	2.0	2.807354922057604	3.0	2.807354922057604	2.0	0.5714285714285714	11.0	3.4594316186372978	-0.8073549220576043
NP_001191218	25	28	27	10	9	16	25.0	10.0	4.643856189774724	4.807354922057604	4.754887502163469	3.3219280948873626	3.1699250014423126	4.0	4.643856189774724	3.3219280948873626	0.4	35.0	5.129283016944966	-1.3219280948873622
NP_001191219	25	28	27	10	9	16	25.0	10.0	4.643856189774724	4.807354922057604	4.754887502163469	3.3219280948873626	3.1699250014423126	4.0	4.643856189774724	3.3219280948873626	0.4	35.0	5.129283016944966	-1.3219280948873622
NP_001191220	25	28	27	10	9	16	25.0	10.0	4.643856189774724	4.807354922057604	4.754887502163469	3.3219280948873626	3.1699250014423126	4.0	4.643856189774724	3.3219280948873626	0.4	35.0	5.129283016944966	-1.3219280948873622
NP_001191221	24	27	25	9	8	13	24.0	9.0	4.584962500721157	4.754887502163469	4.643856189774724	3.1699250014423126	3.0	3.700439718141092	4.584962500721157	3.1699250014423126	0.375	33.0	5.044394119358453	-1.4150374992788437
NP_001191222	7	9	11	4	7	8	7.0	4.0	2.807354922057604	3.1699250014423126	3.4594316186372978	2.0	2.807354922057604	3.0	2.807354922057604	2.0	0.5714285714285714	11.0	3.4594316186372978	-0.8073549220576043
NP_001191223	24	27	25	9	8	13	24.0	9.0	4.584962500721157	4.754887502163469	4.643856189774724	3.1699250014423126	3.0	3.700439718141092	4.584962500721157	3.1699250014423126	0.375	33.0	5.044394119358453	-1.4150374992788437
NP_001191224	10	7	5	6	4	4	10.0	6.0	3.3219280948873626	2.807354922057604	2.321928094887362	2.584962500721156	2.0	2.0	3.3219280948873626	2.584962500721156	0.6	16.0	4.0	-0.7369655941662062
NP_001191225	10	7	5	6	4	4	10.0	6.0	3.3219280948873626	2.807354922057604	2.321928094887362	2.584962500721156	2.0	2.0	3.3219280948873626	2.584962500721156	0.6	16.0	4.0	-0.7369655941662062
NP_001191226	10	7	5	6	4	4	10.0	6.0	3.3219280948873626	2.807354922057604	2.321928094887362	2.584962500721156	2.0	2.0	3.3219280948873626	2.584962500721156	0.6	16.0	4.0	-0.7369655941662062
NP_001191230	1	1	2	0	1	1	1.0	0.0	0.0	0.0	1.0	-inf	0.0	0.0	0.0		0.0009765625	1.0	0.0	-10.0
NP_001191231	1	1	2	0	1	1	1.0	0.0	0.0	0.0	1.0	-inf	0.0	0.0	0.0		0.0009765625	1.0	0.0	-10.0
NP_001191232	1	1	2	0	1	1	1.0	0.0	0.0	0.0	1.0	-inf	0.0	0.0	0.0		0.0009765625	1.0	0.0	-10.0
NP_001191297	25	26	13	12	16	20	25.0	12.0	4.643856189774724	4.700439718141093	3.700439718141092	3.5849625007211565	4.0	4.321928094887363	4.643856189774724	3.5849625007211565	0.48	37.0	5.20945336562895	-1.0588936890535685
NP_001191315	2	1	1	1	4	0	2.0	1.0	1.0	0.0	0.0	0.0	2.0	-inf	1.0	0.0	0.5	3.0	1.5849625007211563	-1.0
NP_001191316	1	1	1	1	4	0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	-inf	0.0	0.0	1.0	2.0	1.0	0.0
NP_001191317	1	1	1	1	4	0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	-inf	0.0	0.0	1.0	2.0	1.0	0.0
NP_001191335	0	0	0	2	1	4	0.0	2.0	-inf	-inf	-inf	1.0	0.0	2.0		1.0	1024.0	2.0	1.0	10.0
NP_001191382	18	23	27	2	2	8	18.0	2.0	4.169925001442312	4.523561956057013	4.754887502163469	1.0	1.0	3.0	4.169925001442312	1.0	0.1111111111111111	20.0	4.321928094887363	-3.1699250014423126
NP_001191439	10	13	10	16	17	17	10.0	16.0	3.3219280948873626	3.700439718141092	3.3219280948873626	4.0	4.08746284125034	4.08746284125034	3.3219280948873626	4.0	1.6	26.0	4.700439718141093	0.6780719051126378
NP_001191455	68	62	80	73	73	81	68.0	73.0	6.08746284125034	5.954196310386876	6.321928094887362	6.189824558880018	6.189824558880018	6.339850002884625	6.08746284125034	6.189824558880018	1.0735294117647058	141.0	7.139551352398794	0.10236171762967777
NP_001191456	68	62	80	73	73	81	68.0	73.0	6.08746284125034	5.954196310386876	6.321928094887362	6.189824558880018	6.189824558880018	6.339850002884625	6.08746284125034	6.189824558880018	1.0735294117647058	141.0	7.139551352398794	0.10236171762967777
NP_001191627	0	2	2	3	2	2	0.0	3.0	-inf	1.0	1.0	1.5849625007211563	1.0	1.0		1.5849625007211563	1024.0	3.0	1.5849625007211563	10.0
NP_001191792	12	14	20	25	32	22	12.0	25.0	3.5849625007211565	3.8073549220576037	4.321928094887363	4.643856189774724	5.0	4.459431618637297	3.5849625007211565	4.643856189774724	2.0833333333333335	37.0	5.20945336562895	1.0588936890535687
NP_001191809	6	4	3	7	8	6	6.0	7.0	2.584962500721156	2.0	1.5849625007211563	2.807354922057604	3.0	2.584962500721156	2.584962500721156	2.807354922057604	1.1666666666666667	13.0	3.700439718141092	0.22239242133644802
NP_001191818	0	0	0	17	20	13	0.0	17.0	-inf	-inf	-inf	4.08746284125034	4.321928094887363	3.700439718141092		4.08746284125034	1024.0	17.0	4.08746284125034	10.0
NP_001193469	6	12	8	4	3	5	6.0	4.0	2.584962500721156	3.5849625007211565	3.0	2.0	1.5849625007211563	2.321928094887362	2.584962500721156	2.0	0.6666666666666666	10.0	3.3219280948873626	-0.5849625007211563
NP_001193541	14	32	19	2	4	5	14.0	2.0	3.8073549220576037	5.0	4.247927513443585	1.0	2.0	2.321928094887362	3.8073549220576037	1.0	0.14285714285714285	16.0	4.0	-2.8073549220576046
NP_001193570	13	28	9	30	26	35	13.0	30.0	3.700439718141092	4.807354922057604	3.1699250014423126	4.906890595608519	4.700439718141093	5.129283016944966	3.700439718141092	4.906890595608519	2.3076923076923075	43.0	5.426264754702098	1.2064508774674263
NP_001193594	9	7	9	0	0	0	9.0	0.0	3.1699250014423126	2.807354922057604	3.1699250014423126	-inf	-inf	-inf	3.1699250014423126		0.0009765625	9.0	3.1699250014423126	-10.0
NP_001193665	6	6	4	1	0	0	6.0	1.0	2.584962500721156	2.584962500721156	2.0	0.0	-inf	-inf	2.584962500721156	0.0	0.16666666666666666	7.0	2.807354922057604	-2.584962500721156
NP_001193725	114	118	108	155	219	247	114.0	155.0	6.832890014164742	6.882643049361842	6.754887502163469	7.276124405274238	7.774787059601174	7.948367231584678	6.832890014164742	7.276124405274238	1.3596491228070176	269.0	8.071462362556625	0.4432343911094959
NP_001193726	37	50	26	78	89	104	37.0	78.0	5.20945336562895	5.643856189774724	4.700439718141093	6.285402218862249	6.475733430966398	6.700439718141092	5.20945336562895	6.285402218862249	2.108108108108108	115.0	6.845490050944376	1.0759488532332986
NP_001193728	114	118	108	155	219	247	114.0	155.0	6.832890014164742	6.882643049361842	6.754887502163469	7.276124405274238	7.774787059601174	7.948367231584678	6.832890014164742	7.276124405274238	1.3596491228070176	269.0	8.071462362556625	0.4432343911094959
NP_001193765	66	75	74	86	109	112	66.0	86.0	6.044394119358453	6.22881869049588	6.209453365628951	6.426264754702098	6.768184324776926	6.807354922057604	6.044394119358453	6.426264754702098	1.303030303030303	152.0	7.247927513443586	0.38187063534364446
NP_001193929	27	26	19	4	5	7	27.0	4.0	4.754887502163469	4.700439718141093	4.247927513443585	2.0	2.321928094887362	2.807354922057604	4.754887502163469	2.0	0.14814814814814814	31.0	4.954196310386876	-2.7548875021634687
NP_001193937	1	1	1	0	2	0	1.0	0.0	0.0	0.0	0.0	-inf	1.0	-inf	0.0		0.0009765625	1.0	0.0	-10.0
NP_001196	10	16	10	9	10	11	10.0	9.0	3.3219280948873626	4.0	3.3219280948873626	3.1699250014423126	3.3219280948873626	3.4594316186372978	3.3219280948873626	3.1699250014423126	0.9	19.0	4.247927513443585	-0.15200309344504997
NP_001198	74	87	71	76	105	109	74.0	76.0	6.209453365628951	6.442943495848729	6.149747119504682	6.247927513443586	6.714245517666122	6.768184324776926	6.209453365628951	6.247927513443586	1.027027027027027	150.0	7.22881869049588	0.03847414781463564
NP_001203	60	59	44	14	15	41	60.0	14.0	5.906890595608519	5.882643049361842	5.459431618637297	3.8073549220576037	3.9068905956085187	5.357552004618084	5.906890595608519	3.8073549220576037	0.23333333333333334	74.0	6.209453365628951	-2.0995356735509145
NP_001210	10	5	9	0	0	0	10.0	0.0	3.3219280948873626	2.321928094887362	3.1699250014423126	-inf	-inf	-inf	3.3219280948873626		0.0009765625	10.0	3.3219280948873626	-10.0
NP_001212	43	55	54	2	2	2	43.0	2.0	5.426264754702098	5.78135971352466	5.754887502163469	1.0	1.0	1.0	5.426264754702098	1.0	0.046511627906976744	45.0	5.491853096329675	-4.426264754702098
NP_001226	21	23	15	11	9	8	21.0	11.0	4.392317422778761	4.523561956057013	3.9068905956085187	3.4594316186372978	3.1699250014423126	3.0	4.392317422778761	3.4594316186372978	0.5238095238095238	32.0	5.0	-0.932885804141463
NP_001227	3	19	4	0	0	1	3.0	0.0	1.5849625007211563	4.247927513443585	2.0	-inf	-inf	0.0	1.5849625007211563		0.0009765625	3.0	1.5849625007211563	-10.0
NP_001229236	1	2	1	0	0	0	1.0	0.0	0.0	1.0	0.0	-inf	-inf	-inf	0.0		0.0009765625	1.0	0.0	-10.0
NP_001229238	1	1	1	0	0	0	1.0	0.0	0.0	0.0	0.0	-inf	-inf	-inf	0.0		0.0009765625	1.0	0.0	-10.0
NP_001229326	4	5	6	3	0	2	4.0	3.0	2.0	2.321928094887362	2.584962500721156	1.5849625007211563	-inf	1.0	2.0	1.5849625007211563	0.75	7.0	2.807354922057604	-0.4150374992788438
NP_001229410	9	13	11	3	5	5	9.0	3.0	3.1699250014423126	3.700439718141092	3.4594316186372978	1.5849625007211563	2.321928094887362	2.321928094887362	3.1699250014423126	1.5849625007211563	0.3333333333333333	12.0	3.5849625007211565	-1.5849625007211563
NP_001229427	2	8	6	2	2	2	2.0	2.0	1.0	3.0	2.584962500721156	1.0	1.0	1.0	1.0	1.0	1.0	4.0	2.0	0.0
NP_001229430	2	8	6	2	2	2	2.0	2.0	1.0	3.0	2.584962500721156	1.0	1.0	1.0	1.0	1.0	1.0	4.0	2.0	0.0
NP_001229528	5	6	6	4	2	4	5.0	4.0	2.321928094887362	2.584962500721156	2.584962500721156	2.0	1.0	2.0	2.321928094887362	2.0	0.8	9.0	3.1699250014423126	-0.3219280948873623
NP_001229529	5	6	6	4	2	4	5.0	4.0	2.321928094887362	2.584962500721156	2.584962500721156	2.0	1.0	2.0	2.321928094887362	2.0	0.8	9.0	3.1699250014423126	-0.3219280948873623
NP_001229546	7	6	9	5	8	9	7.0	5.0	2.807354922057604	2.584962500721156	3.1699250014423126	2.321928094887362	3.0	3.1699250014423126	2.807354922057604	2.321928094887362	0.7142857142857143	12.0	3.5849625007211565	-0.4854268271702417
NP_001229573	15	17	14	20	17	13	15.0	20.0	3.9068905956085187	4.08746284125034	3.8073549220576037	4.321928094887363	4.08746284125034	3.700439718141092	3.9068905956085187	4.321928094887363	1.3333333333333333	35.0	5.129283016944966	0.4150374992788437
NP_001229761	2	3	2	4	6	5	2.0	4.0	1.0	1.5849625007211563	1.0	2.0	2.584962500721156	2.321928094887362	1.0	2.0	2.0	6.0	2.584962500721156	1.0
NP_001229768	41	50	41	55	55	56	41.0	55.0	5.357552004618084	5.643856189774724	5.357552004618084	5.78135971352466	5.78135971352466	5.807354922057605	5.357552004618084	5.78135971352466	1.3414634146341464	96.0	6.584962500721156	0.423807708906576
NP_001229769	4	4	3	5	2	4	4.0	5.0	2.0	2.0	1.5849625007211563	2.321928094887362	1.0	2.0	2.0	2.321928094887362	1.25	9.0	3.1699250014423126	0.32192809488736235
NP_001229784	0	0	0	1	1	4	0.0	1.0	-inf	-inf	-inf	0.0	0.0	2.0		0.0	1024.0	1.0	0.0	10.0
NP_001229852	0	0	0	1	2	2	0.0	1.0	-inf	-inf	-inf	0.0	1.0	1.0		0.0	1024.0	1.0	0.0	10.0
NP_001229861	5	5	1	0	0	0	5.0	0.0	2.321928094887362	2.321928094887362	0.0	-inf	-inf	-inf	2.321928094887362		0.0009765625	5.0	2.321928094887362	-10.0
NP_001229862	1	2	1	2	1	0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	-inf	0.0	1.0	2.0	3.0	1.5849625007211563	1.0
NP_001229885	7	8	8	2	0	5	7.0	2.0	2.807354922057604	3.0	3.0	1.0	-inf	2.321928094887362	2.807354922057604	1.0	0.2857142857142857	9.0	3.1699250014423126	-1.8073549220576042
NP_001230059	33	45	36	29	33	32	33.0	29.0	5.044394119358453	5.491853096329675	5.169925001442312	4.857980995127573	5.044394119358453	5.0	5.044394119358453	4.857980995127573	0.8787878787878788	62.0	5.954196310386876	-0.18641312423088136
NP_001230106	73	68	56	103	101	87	73.0	103.0	6.189824558880018	6.08746284125034	5.807354922057605	6.6865005271832185	6.6582114827517955	6.442943495848729	6.189824558880018	6.6865005271832185	1.4109589041095891	176.0	7.459431618637297	0.4966759683032012
NP_001230140	0	0	2	10	10	9	0.0	10.0	-inf	-inf	1.0	3.3219280948873626	3.3219280948873626	3.1699250014423126		3.3219280948873626	1024.0	10.0	3.3219280948873626	10.0
NP_001230328	2	0	2	3	3	4	2.0	3.0	1.0	-inf	1.0	1.5849625007211563	1.5849625007211563	2.0	1.0	1.5849625007211563	1.5	5.0	2.321928094887362	0.5849625007211562
NP_001230587	5	3	9	14	24	25	5.0	14.0	2.321928094887362	1.5849625007211563	3.1699250014423126	3.8073549220576037	4.584962500721157	4.643856189774724	2.321928094887362	3.8073549220576037	2.8	19.0	4.247927513443585	1.4854268271702415
NP_001230648	64	75	55	71	74	70	64.0	71.0	6.0	6.22881869049588	5.78135971352466	6.149747119504682	6.209453365628951	6.129283016944967	6.0	6.149747119504682	1.109375	135.0	7.076815597050832	0.14974711950468206
NP_001230665	4	5	17	5	13	6	4.0	5.0	2.0	2.321928094887362	4.08746284125034	2.321928094887362	3.700439718141092	2.584962500721156	2.0	2.321928094887362	1.25	9.0	3.1699250014423126	0.32192809488736235
NP_001230679	7	6	7	0	0	3	7.0	0.0	2.807354922057604	2.584962500721156	2.807354922057604	-inf	-inf	1.5849625007211563	2.807354922057604		0.0009765625	7.0	2.807354922057604	-10.0
NP_001230700	1	1	1	0	0	0	1.0	0.0	0.0	0.0	0.0	-inf	-inf	-inf	0.0		0.0009765625	1.0	0.0	-10.0
NP_001230701	2	2	1	1	0	1	2.0	1.0	1.0	1.0	0.0	0.0	-inf	0.0	1.0	0.0	0.5	3.0	1.5849625007211563	-1.0
NP_001230707	40	53	45	39	40	44	40.0	39.0	5.321928094887363	5.7279204545632	5.491853096329675	5.285402218862249	5.321928094887363	5.459431618637297	5.321928094887363	5.285402218862249	0.975	79.0	6.303780748177103	-0.03652587602511404
NP_001230710	40	53	45	39	40	44	40.0	39.0	5.321928094887363	5.7279204545632	5.491853096329675	5.285402218862249	5.321928094887363	5.459431618637297	5.321928094887363	5.285402218862249	0.975	79.0	6.303780748177103	-0.03652587602511404
NP_001230711	40	53	45	39	40	44	40.0	39.0	5.321928094887363	5.7279204545632	5.491853096329675	5.285402218862249	5.321928094887363	5.459431618637297	5.321928094887363	5.285402218862249	0.975	79.0	6.303780748177103	-0.03652587602511404
NP_001230726	4	4	2	3	3	2	4.0	3.0	2.0	2.0	1.0	1.5849625007211563	1.5849625007211563	1.0	2.0	1.5849625007211563	0.75	7.0	2.807354922057604	-0.4150374992788438
NP_001230808	11	7	6	7	10	5	11.0	7.0	3.4594316186372978	2.807354922057604	2.584962500721156	2.807354922057604	3.3219280948873626	2.321928094887362	3.4594316186372978	2.807354922057604	0.6363636363636364	18.0	4.169925001442312	-0.6520766965796932
NP_001230820	12	16	15	3	9	13	12.0	3.0	3.5849625007211565	4.0	3.9068905956085187	1.5849625007211563	3.1699250014423126	3.700439718141092	3.5849625007211565	1.5849625007211563	0.25	15.0	3.9068905956085187	-2.0
NP_001230821	17	21	19	4	10	15	17.0	4.0	4.08746284125034	4.392317422778761	4.247927513443585	2.0	3.3219280948873626	3.9068905956085187	4.08746284125034	2.0	0.23529411764705882	21.0	4.392317422778761	-2.0874628412503395
NP_001230823	12	13	10	3	5	6	12.0	3.0	3.5849625007211565	3.700439718141092	3.3219280948873626	1.5849625007211563	2.321928094887362	2.584962500721156	3.5849625007211565	1.5849625007211563	0.25	15.0	3.9068905956085187	-2.0
NP_001230824	23	29	27	5	13	17	23.0	5.0	4.523561956057013	4.857980995127573	4.754887502163469	2.321928094887362	3.700439718141092	4.08746284125034	4.523561956057013	2.321928094887362	0.21739130434782608	28.0	4.807354922057604	-2.201633861169651
NP_001230829	7	4	2	0	1	1	7.0	0.0	2.807354922057604	2.0	1.0	-inf	0.0	0.0	2.807354922057604		0.0009765625	7.0	2.807354922057604	-10.0
NP_001230876	7	2	3	0	0	0	7.0	0.0	2.807354922057604	1.0	1.5849625007211563	-inf	-inf	-inf	2.807354922057604		0.0009765625	7.0	2.807354922057604	-10.0
NP_001231319	16	6	11	20	32	24	16.0	20.0	4.0	2.584962500721156	3.4594316186372978	4.321928094887363	5.0	4.584962500721157	4.0	4.321928094887363	1.25	36.0	5.169925001442312	0.32192809488736235
NP_001231496	31	18	19	23	24	21	31.0	23.0	4.954196310386876	4.169925001442312	4.247927513443585	4.523561956057013	4.584962500721157	4.392317422778761	4.954196310386876	4.523561956057013	0.7419354838709677	54.0	5.754887502163469	-0.43063435432986236
NP_001231533	7	17	13	0	0	0	7.0	0.0	2.807354922057604	4.08746284125034	3.700439718141092	-inf	-inf	-inf	2.807354922057604		0.0009765625	7.0	2.807354922057604	-10.0
NP_001231573	3	5	3	1	1	0	3.0	1.0	1.5849625007211563	2.321928094887362	1.5849625007211563	0.0	0.0	-inf	1.5849625007211563	0.0	0.3333333333333333	4.0	2.0	-1.5849625007211563
NP_001231639	9	6	5	6	10	3	9.0	6.0	3.1699250014423126	2.584962500721156	2.321928094887362	2.584962500721156	3.3219280948873626	1.5849625007211563	3.1699250014423126	2.584962500721156	0.6666666666666666	15.0	3.9068905956085187	-0.5849625007211563
NP_001231642	1	1	2	0	0	1	1.0	0.0	0.0	0.0	1.0	-inf	-inf	0.0	0.0		0.0009765625	1.0	0.0	-10.0
NP_001231664	8	5	7	9	11	8	8.0	9.0	3.0	2.321928094887362	2.807354922057604	3.1699250014423126	3.4594316186372978	3.0	3.0	3.1699250014423126	1.125	17.0	4.08746284125034	0.16992500144231237
NP_001231695	12	16	6	6	6	9	12.0	6.0	3.5849625007211565	4.0	2.584962500721156	2.584962500721156	2.584962500721156	3.1699250014423126	3.5849625007211565	2.584962500721156	0.5	18.0	4.169925001442312	-1.0
NP_001231696	3	4	2	1	1	3	3.0	1.0	1.5849625007211563	2.0	1.0	0.0	0.0	1.5849625007211563	1.5849625007211563	0.0	0.3333333333333333	4.0	2.0	-1.5849625007211563
